TX,RX,Lat (°),Long (°),Env.,3D T-R (m),PL (dB)
COL1,1,40.7273222,-73.9973,L,31,92.3
COL1,2,40.7275417,-73.9970833,N,61,123.8
COL1,3,40.7279056,-73.9980556,L,102,*
COL1,4,40.728075,-73.9980167,N,118,136.4
COL1,5,40.7269861,-73.9988417,N,114,115.6
COL1,6,40.7295,-73.9978889,N,270,-
COL1,7,40.7298361,-73.9976167,N,305,-
COL1,8,40.7297444,-73.9971278,N,296,-
COL1,9,40.7303444,-73.9983,N,368,-
COL1,10,40.7286694,-73.9955139,N,242,-
COL1,11,40.7287806,-73.9957667,N,238,-
COL1,12,40.73005,-73.9957083,N,362,-
COL1,13,40.7281139,-73.996675,N,133,132.9
COL1,14,40.7283472,-73.9964389,N,165,137.1
COL1,15,40.7285319,-73.997325,N,159,-
COL1,16,40.72875,-73.9973,N,185,-
COL1,17,40.7278333,-73.9975,N,82,148.1
COL1,18,40.7301222,-73.9945389,N,419,-
COL1,19,40.7302361,-73.9948806,N,413,-
COL1,20,40.7302833,-73.9958972,N,379,-
COL1,21,40.7299306,-73.99545,N,360,-
COL1,22,40.7290528,-73.9940278,N,365,-
COL1,23,40.7295556,-73.9946806,N,362,-
COL1,24,40.7289722,-73.9948361,N,306,-
COL1,25,40.7285361,-73.9943917,N,307,-
COL2,1,40.7273222,-73.9973,L,53,100.8
COL2,2,40.7275417,-73.9970833,N,73,121.4
COL2,3,40.7279056,-73.9980556,N,142,119
COL2,4,40.728075,-73.9980167,N,155,141.4
COL2,5,40.7269861,-73.9988417,N,151,124.9
COL2,6,40.7295,-73.9978889,N,299,-
COL2,7,40.7298361,-73.9976167,N,332,-
COL2,8,40.7297444,-73.9971278,N,318,-
COL2,9,40.7303444,-73.9983,N,399,-
COL2,10,40.7286694,-73.9955139,N,237,-
COL2,11,40.7287806,-73.9957667,N,237,-
COL2,12,40.73005,-73.9957083,N,370,-
COL2,13,40.7281139,-73.996675,N,141,124.8
COL2,14,40.7283472,-73.9964389,N,171,144.5
COL2,15,40.7285139,-73.997325,N,183,-
COL2,16,40.72875,-73.9973,N,209,-
COL2,17,40.7278333,-73.9975,N,112,142.2
COL2,18,40.7301222,-73.9945389,N,418,-
COL2,19,40.7302361,-73.9948806,N,415,-
COL2,20,40.7302833,-73.9958972,N,390,-
COL2,21,40.7299306,-73.99545,N,365,-
COL2,22,40.7290528,-73.9940278,N,351,-
COL2,23,40.7295556,-73.9946806,N,358,-
COL2,24,40.7289722,-73.9948361,N,298,-
COL2,25,40.7285361,-73.9943917,N,290,-
KAU,1,40.7273222,-73.9973,N,213,-
KAU,2,40.7275417,-73.9970833,N,184,-
KAU,3,40.7279056,-73.9980556,N,200,-
KAU,4,40.728075,-73.9980167,N,186,149.2
KAU,5,40.7269861,-73.9988417,N,318,-
KAU,6,40.7295,-73.9978889,N,147,-
KAU,7,40.7298361,-73.9976167,N,145,-
KAU,8,40.7297444,-73.9971278,N,107,-
KAU,9,40.7303444,-73.9983,N,225,-
KAU,10,40.7286694,-73.9955139,N,77,124.2
KAU,11,40.7287806,-73.9957667,L,54,102.1
KAU,12,40.73005,-73.9957083,N,120,140
KAU,13,40.7281139,-73.996675,N,112,-
KAU,14,40.7283472,-73.9964389,N,82,127
KAU,15,40.7285139,-73.997325,N,110,-
KAU,16,40.72875,-73.9973,N,96,140
KAU,17,40.7278333,-73.9975,N,173,-
KAU,18,40.7301222,-73.9945389,N,187,-
KAU,19,40.7302361,-73.9948806,N,175,137
KAU,20,40.7302833,-73.9958972,N,140,-
KAU,21,40.7299306,-73.99545,N,119,118
KAU,22,40.7290528,-73.9940278,N,188,-
KAU,30,40.7287806,-73.9957667,L,53,94.6
KAU,31,40.7288778,-73.9960028,L,33,88.4
